Drug,Interaction_Text,Risk_Level
ofloxacin,take with or without food. the absorption is unaffected by food.,Low
cilostazol,avoid grapefruit products.,High
cilostazol,take on an empty stomach. a high fat meal will increase absorption.,Low
itraconazole,"exercise caution with grapefruit products. while there is inconclusive evidence of the effect of grapefruit products on the systemic exposure to itraconazole, they may affect drug absorption.",Moderate
itraconazole,take with food. food promotes maximal absorption of itraconazole.,Low
procarbazine,"avoid alcohol. ingesting alcohol may potentiate the cns depressant effects of procarbazine and may precipitate a disulfiram-like-reaction (nausea, flushing).",High
procarbazine,"avoid tyramine-containing foods and supplements. foods that contain tyramine include yogurt, aged cheese, ripe bananas, wine, and sourdough bread.",High
guanethidine,take with or without food. the absorption is unaffected by food.,Low
moclobemide,avoid excessive or chronic alcohol consumption.,High
moclobemide,"avoid tyramine-containing foods and supplements. avoid excess consumption (<100mg) of tyramine. food that contains tyramine includes yogurt, aged cheese, ripe bananas, wine, and sourdough bread.",High
moclobemide,take after a meal.,Low
orphenadrine,avoid alcohol.,High
orphenadrine,take with or without food. food does not significantly affect absorption.,Low
phenobarbital,administer vitamin supplements.,Low
phenobarbital,avoid alcohol.,High
phenobarbital,limit caffeine intake.,Moderate
phenobarbital,take on an empty stomach. taking this medication on an empty stomach increases the speed of absorption.,Low
escitalopram,avoid alcohol. the combined use of alcohol with psychotropic medications should be avoided.,High
escitalopram,take with or without food. the absorption is unaffected by food.,Low
cyclizine,avoid alcohol.,High
cyclizine,take with or without food. the absorption is unaffected by food.,Low
ifosfamide,avoid alcohol. ingesting alcohol may worsen nausea and vomiting caused by ifosfamide.,High
ifosfamide,"exercise caution with grapefruit products. grapefruit inhibits the cyp3a4 metabolism of ifosfamide to its active metabolite, therefore reducing its efficacy.",Moderate
ifosfamide,"exercise caution with st. john's wort. close monitoring is warranted as this herb induces the cyp3a4 metabolism of ifosfamide to its alkylating active metabolites, including, chloroacetaldehyde, a nephrotoxic and neurotoxic metabolite.",Moderate
propafenone,avoid grapefruit products.,High
propafenone,take with or without food. take consistently at the same time in regard to meals.,Low
naloxone,"take separate from meals. when formulated as a buccal film or sublingual form, avoid eating or drinking until the film has completely dissolved.",High
domperidone,take before a meal. take 15-30 minutes before meals.,Low
fluoxymesterone,take with food.,Low
pergolide,take with or without food.,Low
clindamycin,take with a full glass of water. clindamycin may cause esophageal irritation if the dosage form becomes lodged.,Low
clindamycin,take with or without food. food does not appreciably alter the absorption of clindamycin.,Low
dexfenfluramine,take with food.,Low
oxymorphone,avoid alcohol. ingesting alcohol has unpredictable effects on the pharmacokinetics of oxymorphone. alcohol may also potentiate the cns depressant effects of oxymorphone.,High
oxymorphone,take on an empty stomach. take oxymorphone at least one hour before or two hours after eating as food may increase the absorption of oxymorphone.,Low
acebutolol,"take with or without food. food decreases absorption rate and maximum concentration, but not to a clinically significant extent.",Low
flecainide,take with or without food. the absorption is unaffected by food.,Low
estramustine,avoid milk and dairy products.,High
estramustine,take on an empty stomach.,Low
captopril,"avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",High
captopril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
captopril,limit salt intake. salt may attenuate the antihypertensive effect.,Moderate
captopril,take separate from meals. the presence of food decreases absorption. take one hour prior to meals.,Low
zopiclone,avoid alcohol. ingesting alcohol may potentiate the cns depressant actions of zopiclone.,High
zopiclone,"avoid grapefruit products. grapefruit may reduce the cyp3a4 metabolism of zopiclone, increasing its sedative effects.",High
bromocriptine,avoid alcohol.,High
bromocriptine,take with food. food reduces irritation.,Low
rifapentine,take with food. taking rifapentine with food increases its bioavailability and reduces gastrointestinal upset. rifapentine tablets can be crushed and mixed with semisolid food if necessary.,Low
levetiracetam,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
nadolol,avoid alcohol.,High
nadolol,avoid natural licorice.,High
nadolol,take with or without food. the absorption is unaffected by food.,Low
flumazenil,"take separate from meals. eating during an intravenous infusion of flumazenil increases the elimination of flumazenil, potentially through elevated hepatic blood flow.",Low
clarithromycin,take with food. food increases absorption.,Low
fomepizole,"avoid alcohol. fomepizole reduces the metabolism of alcohol by alcohol dehydrogenase, and alcohol also reduces fomepizole metabolism and elimination.",High
estazolam,avoid alcohol.,High
estazolam,take with or without food. the absorption is unaffected by food.,Low
finasteride,take with or without food. the absorption is unaffected by food.,Low
anastrozole,"take with or without food. co-administration with food reduces the rate, but not the overall extent, of absorption.",Low
halofantrine,"take on an empty stomach. food increases the bioavailability 6-fold, which may increase the risk of cardiotoxicity.",Low
dantrolene,take with or without food. the absorption is unaffected by food.,Low
rifaximin,"take with or without food. fatty meals may increase the systemic auc of rifaximin, but do not impact cmax. rifaximin is an antibacterial used for local action in the gastrointestinal tract; therefore, changes in systemic exposure may not significantly impact efficacy.",Low
ketamine,avoid alcohol.,High
budesonide,"take with or without food. food delays drug absorption, but not to a clinically significant extent.",Low
aminophylline,administer vitamin supplements. aminophylline may reduce vitamin b6 levels as an adverse effect. consider supplementation.,Low
aminophylline,"avoid excessive or chronic alcohol consumption. ingesting a large amount of alcohol may reduce aminophylline clearance, therefore increasing its serum concentration.",High
aminophylline,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of aminophylline.",Moderate
aminophylline,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of aminophylline. therefore it may reduce the serum concentration and effectiveness of aminophylline.,Moderate
aminophylline,"limit caffeine intake. excessive caffeine intake with aminophylline may exacerbate caffiene-like side effects such as nausea, nervousness, irritability, insomnia and tremors.",Moderate
aminophylline,take with food. this may reduce gastric irritation. aminophylline absorption is slower when taken with food.,Low
quetiapine,avoid alcohol.,High
quetiapine,"take with or without food. if taken with food, take with a light meal.",Low
enoxaparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
paclitaxel,"avoid echinacea. co-administration may decrease the effectiveness of immunosuppressants, and echinacea may induce cyp3a4 increasing paclitaxel metabolism.",High
paclitaxel,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of paclitaxel.",Moderate
paclitaxel,exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of paclitaxel and may reduce its serum concentration.,Moderate
pemoline,avoid alcohol.,High
pemoline,limit caffeine intake.,Moderate
pemoline,take with or without food. food does not significantly affect absorption.,Low
saquinavir,avoid grapefruit products. co-administration with grapefruit-containing products inhibits the metabolism of saquinavir.,High
saquinavir,take after a meal.,Low
metoclopramide,avoid alcohol.,High
metoclopramide,take before a meal. co-administration with food decreases bioavailability - take 30 minutes before meals.,Low
